datetime,number_of_cargo_ships,number_of_tanker_ships,location
2019-01-01,33,23,bab
2019-01-02,41,18,bab
2019-01-03,41,18,bab
2019-01-04,31,16,bab
2019-01-05,55,21,bab
2019-01-06,35,18,bab
2019-01-07,43,18,bab
2019-01-08,37,15,bab
2019-01-09,30,18,bab
2019-01-10,30,13,bab
2019-01-11,34,22,bab
2019-01-12,28,13,bab
2019-01-13,36,12,bab
2019-01-14,32,17,bab
2019-01-15,32,18,bab
2019-01-16,42,20,bab
2019-01-17,28,18,bab
2019-01-18,33,17,bab
2019-01-19,42,14,bab
2019-01-20,33,22,bab
2019-01-21,25,13,bab
2019-01-22,28,22,bab
2019-01-23,32,17,bab
2019-01-24,29,12,bab
2019-01-25,24,9,bab
2019-01-26,45,24,bab
2019-01-27,31,12,bab
2019-01-28,33,17,bab
2019-01-29,34,18,bab
2019-01-30,34,12,bab
2019-01-31,43,19,bab
2019-02-01,38,13,bab
2019-02-02,45,10,bab
2019-02-03,31,29,bab
2019-02-04,40,16,bab
2019-02-05,32,18,bab
2019-02-06,34,17,bab
2019-02-07,30,18,bab
2019-02-08,27,12,bab
2019-02-09,35,17,bab
2019-02-10,46,19,bab
2019-02-11,36,19,bab
2019-02-12,33,17,bab
2019-02-13,45,16,bab
2019-02-14,30,12,bab
2019-02-15,37,18,bab
2019-02-16,51,24,bab
2019-02-17,36,20,bab
2019-02-18,37,16,bab
2019-02-19,36,21,bab
2019-02-20,39,14,bab
2019-02-21,30,11,bab
2019-02-22,31,18,bab
2019-02-23,41,12,bab
2019-02-24,29,27,bab
2019-02-25,40,14,bab
2019-02-26,31,18,bab
2019-02-27,35,11,bab
2019-02-28,29,20,bab
2019-03-01,31,15,bab
2019-03-02,35,17,bab
2019-03-03,38,21,bab
2019-03-04,20,15,bab
2019-03-05,31,16,bab
2019-03-06,47,16,bab
2019-03-07,30,14,bab
2019-03-08,31,18,bab
2019-03-09,39,21,bab
2019-03-10,35,26,bab
2019-03-11,37,19,bab
2019-03-12,27,25,bab
2019-03-13,27,12,bab
2019-03-14,37,24,bab
2019-03-15,35,24,bab
2019-03-16,54,23,bab
2019-03-17,32,19,bab
2019-03-18,25,24,bab
2019-03-19,28,9,bab
2019-03-20,43,14,bab
2019-03-21,27,22,bab
2019-03-22,35,15,bab
2019-03-23,41,17,bab
2019-03-24,38,15,bab
2019-03-25,29,23,bab
2019-03-26,38,23,bab
2019-03-27,35,17,bab
2019-03-28,38,9,bab
2019-03-29,33,13,bab
2019-03-30,33,18,bab
2019-03-31,34,11,bab
2019-04-01,36,17,bab
2019-04-02,36,18,bab
2019-04-03,32,18,bab
2019-04-04,43,11,bab
2019-04-05,29,15,bab
2019-04-06,43,11,bab
2019-04-07,46,25,bab
2019-04-08,30,21,bab
2019-04-09,29,16,bab
2019-04-10,39,17,bab
2019-04-11,46,22,bab
2019-04-12,35,20,bab
2019-04-13,51,13,bab
2019-04-14,46,19,bab
2019-04-15,25,17,bab
2019-04-16,31,21,bab
2019-04-17,33,15,bab
2019-04-18,35,22,bab
2019-04-19,41,16,bab
2019-04-20,46,18,bab
2019-04-21,34,18,bab
2019-04-22,48,15,bab
2019-04-23,38,15,bab
2019-04-24,28,20,bab
2019-04-25,45,24,bab
